"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"L",0.5,"fc.L_rm.0.5",0.677774674328088,0.873,0.185693555026335,0.0670127450852874,0.544462942696053,0.059972795580792,0.1425,0.245694254443743,0.186046511627907,0.356757627876088,0,0,3078.62826309272,166.524134385807,6.63430718938928e-37,5
"LQ",0.5,"fc.LQ_rm.0.5",0.803989045408153,0.936,0.120480702213414,0.0697810122030185,0.692212101852968,0.0622117509563257,0.56825,0.22226616926559,0.104651162790698,0.137583250769758,0.0232558139534884,0.0465116279069767,2970.35990902078,58.2557803138643,2.14768184510325e-13,12
"H",0.5,"fc.H_rm.0.5",0.844393032579781,0.972,0.179079753189509,0.0890305667000476,0.679489055105053,0.097671110222421,0.564,0.193891722360703,0.13953488372093,0.162236042918266,0.0697674418604651,0.110719820597564,2972.71028559492,60.6061568880032,6.63120047413651e-14,46
"LQH",0.5,"fc.LQH_rm.0.5",0.843846708323159,0.976,0.175287848098787,0.0833143719325886,0.68303611189501,0.0913498574500869,0.6505,0.132283785854503,0.13953488372093,0.162236042918266,0.063953488372093,0.112936451816538,2972.99148300377,60.8873542968531,5.7614383113686e-14,46
"LQHP",0.5,"fc.LQHP_rm.0.5",0.863592260582032,0.985,0.137764584937181,0.0663140090065462,0.738411227949314,0.0634599189036576,0.66575,0.0735408049996734,0.133720930232558,0.154699240647094,0.0465116279069767,0.0782907359562952,2932.09564187473,19.9915131678154,4.37471720097648e-05,51
"L",1,"fc.L_rm.1",0.678059840365575,0.879,0.184098863349088,0.0658887638190842,0.545643390559766,0.0565486568870047,0.13025,0.298477665272741,0.180232558139535,0.345135397201298,0,0,3078.68946447648,166.585335769565,6.43436754670969e-37,5
"LQ",1,"fc.LQ_rm.1",0.784307318812702,0.943,0.115860631888832,0.0639173167840861,0.681789500767963,0.0466323021421228,0.5885,0.221321033794802,0.0930232558139535,0.115501274618227,0.0174418604651163,0.0348837209302326,2993.60860291052,81.5044742036052,1.92123377146291e-18,11
"H",1,"fc.H_rm.1",0.830691009423361,0.978,0.149443229348244,0.0701430282008466,0.693633689977435,0.0742359958659279,0.60325,0.24171108787145,0.133720930232558,0.154699240647094,0.0174418604651163,0.0348837209302326,2946.18993237084,34.0858036639206,3.80551720146107e-08,27
"LQH",1,"fc.LQH_rm.1",0.829836682423993,0.984,0.151615237081773,0.070366145690265,0.690358687037748,0.0730764421741354,0.623,0.149721964543171,0.133720930232558,0.154699240647094,0.0348837209302326,0.0402802513388111,2951.23572616701,39.1315974600957,3.0530469861134e-09,28
"LQHP",1,"fc.LQHP_rm.1",0.844332134699085,0.957,0.111043805386797,0.0694308284629578,0.741505310452598,0.0575066081690869,0.799,0.099401542576897,0.104651162790698,0.122323518124492,0.0290697674418605,0.0581395348837209,2912.10412870692,0,0.959515314140753,31
"L",1.5,"fc.L_rm.1.5",0.678352618638148,0.881,0.182664156561544,0.0650816979296154,0.546717086371973,0.0534045208309254,0.13425,0.220115689278767,0.180232558139535,0.345135397201298,0,0,3078.79146407232,166.687335365401,6.11444347362211e-37,5
"LQ",1.5,"fc.LQ_rm.1.5",0.769988704614244,0.926,0.119030756839715,0.0683986889678451,0.666377041903711,0.0397891316695563,0.47575,0.224569773864012,0.0930232558139535,0.131554749988195,0.0174418604651163,0.0348837209302326,3006.05930172067,93.9551730137514,3.80141529285634e-21,9
"H",1.5,"fc.H_rm.1.5",0.822217420658552,0.983,0.135907011803067,0.0605550687980549,0.70028616734654,0.0611161093249046,0.66425,0.219080464669947,0.133720930232558,0.154699240647094,0,0,2964.89741391546,52.7932852085441,3.29712708349377e-12,27
"LQH",1.5,"fc.LQH_rm.1.5",0.823225163472749,0.986,0.134451139192007,0.067898887964697,0.699096594554703,0.0647557356402832,0.63725,0.166169341335879,0.127906976744186,0.14890986598681,0,0,2948.29873831505,36.1946096081329,1.32584360089852e-08,22
"LQHP",1.5,"fc.LQHP_rm.1.5",0.832046572825375,0.972,0.108925343869153,0.0720080902580499,0.73306640053866,0.0593249781646704,0.82825,0.117474465310552,0.116279069767442,0.13953488372093,0.0290697674418605,0.0581395348837209,2918.895529329,6.79140062208353,0.0321601453799492,24
"L",2,"fc.L_rm.2",0.678573373455668,0.877,0.181813765867455,0.0631754126475719,0.547243849305878,0.0519623656645588,0.12025,0.223577540613244,0.180232558139535,0.345135397201298,0,0,3078.93238809298,166.828259386062,5.69843596241709e-37,5
"LQ",2,"fc.LQ_rm.2",0.762243548191596,0.93,0.124509782535508,0.0643670008080528,0.65373780475263,0.0327256778961872,0.46575,0.151550596611605,0.0930232558139535,0.131554749988195,0.0174418604651163,0.0348837209302326,3014.72569735716,102.621568650246,4.98955042553292e-23,9
