"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef","delta.AICc_40","w.AIC_40"
"LQHP",1,"fc.LQHP_rm.1",0.848902631578947,0.974,0.103021598953662,0.0584951266413933,0.794565983462471,0.0800397484294202,0.6865,0.146820752393295,0.0930232558139535,0.109079436274963,0.0174418604651163,0.0348837209302326,3768.6173230901,0,0.999996477716769,32,0,0.993462575002376
"LQHP",1.5,"fc.LQHP_rm.1.5",0.835745906432748,0.977,0.105569902570519,0.0503370345709737,0.791008318759937,0.0824285344953284,0.676,0.172948932732565,0.0988372093023256,0.117627836476694,0.0290697674418605,0.0581395348837209,3779.03085947964,0,0.833118200467304,24,10.4135363895402,0.0054435324451066
"LQHP",0.5,"fc.LQHP_rm.0.5",0.86678216374269,0.966,0.11212116317614,0.0849718932655068,0.784359606257822,0.0840811156521996,0.67175,0.221481940573041,0.127906976744186,0.14890986598681,0.0406976744186047,0.0667972400760236,3782.2473435744,3.21648409475938,0.166823018673064,51,13.6300204843001,0.0010900092138521
"LQHP",2,"fc.LQHP_rm.2",0.828162865497076,0.977,0.107413530711934,0.0427029450820562,0.790555644021394,0.0855202741733375,0.74025,0.13486876337141,0.116279069767442,0.13953488372093,0.0290697674418605,0.0581395348837209,3793.74774423352,25.1304211434149,3.49137787178242e-06,22,25.1304211434199,3.46856546806859e-06
"LQHP",2.5,"fc.LQHP_rm.2.5",0.824068128654971,0.967,0.103304984440771,0.0385389860552646,0.79245647619692,0.0829009686337845,0.75125,0.0980216812751138,0.104651162790698,0.126667710374947,0.0290697674418605,0.0581395348837209,3798.2806954051,19.249835925455,5.50373940305035e-05,19,29.6633723149998,3.59610244897343e-07
"LQHP",3,"fc.LQHP_rm.3",0.821765789473684,0.947,0.0993345840461864,0.041023495227691,0.790035115847103,0.080917258871523,0.75475,0.104748508342601,0.0988372093023256,0.123606346659705,0.0290697674418605,0.0581395348837209,3803.38899244249,34.7716693523944,2.81466301927697e-08,18,34.7716693523898,2.79627222016397e-08
"LQHP",3.5,"fc.LQHP_rm.3.5",0.819360526315789,0.957,0.0953876348967642,0.0450290305108299,0.784469354515527,0.0770447210864428,0.74925,0.0990870829119517,0.104651162790698,0.126667710374947,0.0290697674418605,0.0581395348837209,3803.68208525014,24.6512257704994,3.69624678784164e-06,15,35.0647621600401,2.41510019868088e-08
"LQHP",4,"fc.LQHP_rm.4",0.817000877192982,0.953,0.095952186702405,0.0454513401834219,0.782102434274778,0.0778035408170268,0.7315,0.122628164247316,0.104651162790698,0.126667710374947,0.0290697674418605,0.0581395348837209,3808.9575259249,40.3402028348028,1.73874032040583e-09,14,40.3402028348,1.7273795202931e-09
"H",1,"fc.H_rm.1",0.836137134502924,0.986,0.116106757900255,0.0841492879915061,0.762362256258457,0.0917042713678165,0.54225,0.247557905684037,0.133720930232558,0.154699240647094,0.0232558139534884,0.0328886874970487,3811.12243249447,42.5051094043711,5.89021621292206e-10,29,42.5051094043702,5.85172997766333e-10
"LQH",1,"fc.LQH_rm.1",0.835868128654971,0.979,0.11373841891994,0.082476302062591,0.761839320574947,0.0864802731940205,0.47775,0.413596723874839,0.133720930232558,0.154699240647094,0.0174418604651163,0.0348837209302326,3811.7502619666,43.1329388764948,4.3032819226345e-10,29,43.1329388765002,4.27516459815056e-10
