metric,value
GBIF_georeferenced_present_initial,398
America_records,369
QC_retained_after_coordinate_exclusions,339
Unique_exact_coordinates,234
Unique_environmental_cells_initial,172
Effective_model_presences,171
M200_valid_cells,136111
Direct_ENMeval_background,9987
Predictor_count,6
Candidate_models,40
Selected_feature_classes,LQHP
Selected_RM,1
Direct_auc_train,0.8443321
Direct_auc_val_avg,0.7415053
Direct_cbi_val_avg,0.799
Direct_or_10p_avg,0.1046512
Wallace_auc_train,0.8489026
Wallace_auc_val_avg,0.7945660
Wallace_cbi_val_avg,0.6865
Wallace_or_10p_avg,0.09302326
Colombia_prediction_min,0.0004206329
Colombia_prediction_max,0.925758
Colombia_prediction_mean,0.1771955
Full_M200_univariate_extrapolation_percent,0.74186837
MOP_distance_median,0.1967223
MOP_distance_P95,0.4344312
MOP_distance_P99,0.5585029
