"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"L",0.5,"fc.L_rm.0.5",0.677611403508772,0.87,0.145759425886712,0.140594287673088,0.645315712168699,0.157507270685253,0.17225,0.566925847590906,0.186046511627907,0.356757627876088,0,0,3963.61276818161,184.581908701964,6.9064427802568e-41,6
"LQ",0.5,"fc.LQ_rm.0.5",0.80635701754386,0.94,0.0985757216629636,0.0946379103846264,0.766093629407907,0.104384188807202,0.668,0.255084299791265,0.104651162790698,0.137583250769758,0.0290697674418605,0.0581395348837209,3842.36022192193,63.3293624422854,1.47540175829985e-14,12
"H",0.5,"fc.H_rm.0.5",0.848127192982456,0.944,0.13109082763391,0.0873552683613809,0.748836278539294,0.0830370157421808,0.593,0.286720537573901,0.145348837209302,0.168102701102337,0.063953488372093,0.112936451816538,3812.72141408872,33.6905546090784,4.02620276506831e-08,41
"LQH",0.5,"fc.LQH_rm.0.5",0.847921929824561,0.942,0.127209917020421,0.0914487517559728,0.750364152856819,0.0832129082232222,0.60775,0.311118814388758,0.156976744186047,0.169171727463529,0.0755813953488372,0.12213915702782,3819.40373225336,40.3728727737116,1.42511099302368e-09,43
"LQHP",0.5,"fc.LQHP_rm.0.5",0.86678216374269,0.966,0.11212116317614,0.0849718932655068,0.784359606257822,0.0840811156521996,0.67175,0.221481940573041,0.127906976744186,0.14890986598681,0.0406976744186047,0.0667972400760236,3782.2473435744,3.21648409475938,0.166823018673064,51
"L",1.5,"fc.L_rm.1.5",0.678326608187135,0.875,0.146938952304369,0.134520317997387,0.648853824538657,0.155362097936189,0.175,0.586724807725053,0.180232558139535,0.345135397201298,0,0,3961.81348559471,182.782626115069,1.69810158550847e-40,5
"LQ",1.5,"fc.LQ_rm.1.5",0.772222514619883,0.947,0.114060890798563,0.0877249115695518,0.74221955756179,0.116646444207259,0.55675,0.186526807724788,0.0988372093023256,0.12648968117892,0.0290697674418605,0.0581395348837209,3883.59677986497,104.565920385327,1.63872286341278e-23,9
"H",1.5,"fc.H_rm.1.5",0.827802631578947,0.981,0.116631044305063,0.0727619224878295,0.766787149121939,0.0954282867579613,0.5725,0.19701522783785,0.133720930232558,0.154699240647094,0.0290697674418605,0.0348837209302326,3817.10658960083,38.0757301211866,4.49434988512712e-09,24
"LQH",1.5,"fc.LQH_rm.1.5",0.82912134502924,0.989,0.112359679815692,0.0789076235384273,0.765985472735481,0.093521481330507,0.57525,0.240972162984303,0.133720930232558,0.157012628686272,0.0290697674418605,0.0348837209302326,3820.12992925739,41.0990697777488,9.9119023393009e-10,26
"LQHP",1.5,"fc.LQHP_rm.1.5",0.835745906432748,0.977,0.105569902570519,0.0503370345709737,0.791008318759937,0.0824285344953284,0.676,0.172948932732565,0.0988372093023256,0.117627836476694,0.0290697674418605,0.0581395348837209,3779.03085947964,0,0.833118200467304,24
"L",2.5,"fc.L_rm.2.5",0.678685087719298,0.875,0.14386967624363,0.131500128761962,0.649164479172857,0.151145709647479,0.15,0.573714214570286,0.180232558139535,0.345135397201298,0,0,3962.20862873803,183.177769258381,1.39366830743519e-40,5
"LQ",2.5,"fc.LQ_rm.2.5",0.756824269005848,0.927,0.11815135561512,0.0943995291351007,0.727070058186996,0.123651914484894,0.4425,0.306069164296787,0.0872093023255814,0.132067635948844,0.0174418604651163,0.0348837209302326,3901.85894493724,122.828085457599,1.77389027899222e-27,9
"H",2.5,"fc.H_rm.2.5",0.816674269005848,0.971,0.106162639118517,0.0630469868476302,0.779631199447453,0.0959092483824328,0.71375,0.111482061337239,0.104651162790698,0.133594480152047,0,0,3826.95499847124,47.9241389916006,3.26672115696266e-11,17
"LQH",2.5,"fc.LQH_rm.2.5",0.815768128654971,0.98,0.10056682602482,0.0791272960235041,0.775719600226795,0.0970329001171812,0.701,0.151848608818125,0.104651162790698,0.133594480152047,0,0,3833.18465603654,54.1537965568973,1.44997032095748e-12,20
"LQHP",2.5,"fc.LQHP_rm.2.5",0.824068128654971,0.967,0.103304984440771,0.0385389860552646,0.79245647619692,0.0829009686337845,0.75125,0.0980216812751138,0.104651162790698,0.126667710374947,0.0290697674418605,0.0581395348837209,3798.2806954051,19.249835925455,5.50373940305035e-05,19
