"tune.args","fold","auc.val","auc.diff","cbi.val","or.mtp","or.10p"
"fc.L_rm.0.5",1,0.412085922957088,0.351238559818849,-0.601,0,0.720930232558139
"fc.L_rm.0.5",2,0.750244656674865,0.118210111254557,0.647,0,0
"fc.L_rm.0.5",3,0.689606003489423,0.0411402570296461,0.541,0,0.0232558139534884
"fc.L_rm.0.5",4,0.72932626555342,0.0724487754437964,0.102,0,0
"fc.LQ_rm.0.5",1,0.610828889807568,0.233336176226378,0.301,0.116279069767442,0.302325581395349
"fc.LQ_rm.0.5",2,0.821581638253794,0.0930163857932131,0.707,0,0.0232558139534884
"fc.LQ_rm.0.5",3,0.799789093100331,0.0211055978206287,0.883,0,0.0930232558139535
"fc.LQ_rm.0.5",4,0.832174896469936,0.0468447268116343,0.781,0,0
"fc.H_rm.0.5",1,0.642429890389138,0.23959327798487,0.206,0.0232558139534884,0.302325581395349
"fc.H_rm.0.5",2,0.828949365994707,0.0957022628260824,0.863,0,0
"fc.H_rm.0.5",3,0.725931972598452,0.154512532523572,0.744,0.232558139534884,0.27906976744186
"fc.H_rm.0.5",4,0.798033885174877,0.0345552372011173,0.559,0,0
"fc.LQH_rm.0.5",1,0.642967084042779,0.239362872269363,0.194,0.0465116279069767,0.325581395348837
"fc.LQH_rm.0.5",2,0.824090099053838,0.0933977312472702,0.892,0,0.0232558139534884
"fc.LQH_rm.0.5",3,0.726971325537018,0.152453953161385,0.795,0.255813953488372,0.27906976744186
"fc.LQH_rm.0.5",4,0.807428102793638,0.023625111403665,0.55,0,0
"fc.LQHP_rm.0.5",1,0.699886255082903,0.191113795133026,0.367,0.0232558139534884,0.232558139534884
"fc.LQHP_rm.0.5",2,0.842151483939078,0.0645315463323687,0.859,0,0
"fc.LQHP_rm.0.5",3,0.725668047020794,0.175990334017671,0.652,0.13953488372093,0.27906976744186
"fc.LQHP_rm.0.5",4,0.869732638988514,0.0168489772214953,0.809,0,0
"fc.L_rm.1.5",1,0.418546260548264,0.344044598897352,-0.618,0,0.697674418604651
"fc.L_rm.1.5",2,0.749434194945241,0.117568343659714,0.679,0,0
"fc.L_rm.1.5",3,0.693228557214628,0.0471598367164855,0.552,0,0.0232558139534884
"fc.L_rm.1.5",4,0.734206285446494,0.0789830299439263,0.087,0,0
"fc.LQ_rm.1.5",1,0.575525924265037,0.240556668383351,0.308,0.116279069767442,0.27906976744186
"fc.LQ_rm.1.5",2,0.777569128648538,0.0850322356335732,0.613,0,0.0232558139534884
"fc.LQ_rm.1.5",3,0.768160065023788,0.0380032030171598,0.755,0,0.0930232558139535
"fc.LQ_rm.1.5",4,0.847623112309796,0.0926514561601695,0.551,0,0
"fc.H_rm.1.5",1,0.642495287877408,0.218039386221216,0.461,0.0465116279069767,0.27906976744186
"fc.H_rm.1.5",2,0.828235832685198,0.0972500155465011,0.682,0,0
"fc.H_rm.1.5",3,0.742888607056856,0.106108172846729,0.788,0.0697674418604651,0.255813953488372
"fc.H_rm.1.5",4,0.853528868868294,0.045126602605806,0.359,0,0
"fc.LQH_rm.1.5",1,0.63665856204937,0.22464347420653,0.467,0.0697674418604651,0.302325581395349
