"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"L",1,"fc.L_rm.1",0.678100292397661,0.869,0.146561121959982,0.137235908092067,0.647273726804281,0.156403579863276,0.14925,0.558993962400311,0.180232558139535,0.345135397201298,0,0,3963.82636439726,195.209041307157,4.08219495480511e-43,6
"LQ",1,"fc.LQ_rm.1",0.787625438596491,0.944,0.106439592701792,0.0892343226155957,0.753960624428684,0.111326923922036,0.64275,0.236892908294022,0.0930232558139535,0.115501274618227,0.0290697674418605,0.0581395348837209,3866.61293238462,97.9956092945167,5.25438978275184e-22,11
"H",1,"fc.H_rm.1",0.836137134502924,0.986,0.116106757900255,0.0841492879915061,0.762362256258457,0.0917042713678165,0.54225,0.247557905684037,0.133720930232558,0.154699240647094,0.0232558139534884,0.0328886874970487,3811.12243249447,42.5051094043711,5.89021621292206e-10,29
"LQH",1,"fc.LQH_rm.1",0.835868128654971,0.979,0.11373841891994,0.082476302062591,0.761839320574947,0.0864802731940205,0.47775,0.413596723874839,0.133720930232558,0.154699240647094,0.0174418604651163,0.0348837209302326,3811.7502619666,43.1329388764948,4.3032819226345e-10,29
"LQHP",1,"fc.LQHP_rm.1",0.848902631578947,0.974,0.103021598953662,0.0584951266413933,0.794565983462471,0.0800397484294202,0.6865,0.146820752393295,0.0930232558139535,0.109079436274963,0.0174418604651163,0.0348837209302326,3768.6173230901,0,0.999996477716769,32
"L",2,"fc.L_rm.2",0.67849269005848,0.876,0.14545327530395,0.132975665569383,0.649046582879585,0.153211928178381,0.1775,0.571240463085964,0.180232558139535,0.345135397201298,0,0,3962.01957122653,193.402248136433,1.00747410799117e-42,5
"LQ",2,"fc.LQ_rm.2",0.765080409356725,0.94,0.115259722362632,0.0964401180087017,0.732399839034303,0.122042811086929,0.48975,0.239010983011242,0.0930232558139535,0.131554749988195,0.0290697674418605,0.0581395348837209,3892.55848852353,123.941165433432,1.22043978321537e-27,9
"H",2,"fc.H_rm.2",0.820941228070175,0.976,0.111167065433711,0.0638054757851632,0.775269918038659,0.0949115619148642,0.63825,0.192370086032106,0.122093023255814,0.143829266009918,0,0,3826.00429292733,57.3869698372314,3.45602044947396e-13,21
"LQH",2,"fc.LQH_rm.2",0.821233040935673,0.982,0.104219929512499,0.0792353692595663,0.775447614560527,0.0970868431492428,0.66525,0.223019244311636,0.104651162790698,0.133594480152047,0,0,3831.19489706142,62.577573971324,2.57899759396433e-14,24
"LQHP",2,"fc.LQHP_rm.2",0.828162865497076,0.977,0.107413530711934,0.0427029450820562,0.790555644021394,0.0855202741733375,0.74025,0.13486876337141,0.116279069767442,0.13953488372093,0.0290697674418605,0.0581395348837209,3793.74774423352,25.1304211434149,3.49137787178242e-06,22
"L",3,"fc.L_rm.3",0.678920175438597,0.883,0.142252918984461,0.129955044912561,0.649301865848832,0.149032483810046,0.15125,0.561932602720291,0.180232558139535,0.345135397201298,0,0,3962.45871937793,193.841396287828,8.08861350471818e-43,5
"LQ",3,"fc.LQ_rm.3",0.750728947368421,0.914,0.120915179301649,0.0893910056684556,0.7238109910046,0.123114325178077,0.47475,0.311836896469933,0.0872093023255814,0.132067635948844,0.00581395348837209,0.0116279069767442,3907.15300148145,138.535678391346,8.26719409972065e-31,8
"H",3,"fc.H_rm.3",0.815040643274854,0.973,0.0968750454274511,0.0658755940636311,0.782876304495391,0.0916073205512861,0.78975,0.0915109283091369,0.0930232558139535,0.12737733895469,0.00581395348837209,0.0116279069767442,3826.7906933676,58.1733702774959,2.33244610621782e-13,14
"LQH",3,"fc.LQH_rm.3",0.813521929824561,0.984,0.0913642118831099,0.0812478517247017,0.774675576491408,0.0907204190582942,0.6405,0.158007383793712,0.0930232558139535,0.131554749988195,0,0,3830.73462698969,62.1173038995917,3.24636474344975e-14,16
"LQHP",3,"fc.LQHP_rm.3",0.821765789473684,0.947,0.0993345840461864,0.041023495227691,0.790035115847103,0.080917258871523,0.75475,0.104748508342601,0.0988372093023256,0.123606346659705,0.0290697674418605,0.0581395348837209,3803.38899244249,34.7716693523944,2.81466301927697e-08,18
"L",4,"fc.L_rm.4",0.679352923976608,0.881,0.138991279013124,0.126492539131497,0.649782242090561,0.144859488972671,0.15225,0.523802364128558,0.162790697674419,0.310271257305264,0,0,3963.05619881574,194.438875725635,5.9997488717103e-43,5
"LQ",4,"fc.LQ_rm.4",0.74232134502924,0.914,0.127462053205263,0.0818785454265309,0.720164761470914,0.12115571863957,0.53175,0.321630611105349,0.0813953488372093,0.120840754016433,0.00581395348837209,0.0116279069767442,3914.69973930331,146.082416213212,1.89934928686274e-32,7
"H",4,"fc.H_rm.4",0.812719590643275,0.976,0.0936867382608906,0.0707077287222114,0.787067705449323,0.0942311187970643,0.84075,0.153041116479635,0.0930232558139535,0.12737733895469,0.00581395348837209,0.0116279069767442,3836.31640705763,67.6990839675336,1.99218273392746e-15,12
"LQH",4,"fc.LQH_rm.4",0.809387426900585,0.987,0.0875498966084972,0.0790445013844927,0.769143788146401,0.0855890851367732,0.68675,0.141186342587849,0.0872093023255814,0.132067635948844,0,0,3842.89408362892,74.2767605388167,7.43027439846878e-17,14
"LQHP",4,"fc.LQHP_rm.4",0.817000877192982,0.953,0.095952186702405,0.0454513401834219,0.782102434274778,0.0778035408170268,0.7315,0.122628164247316,0.104651162790698,0.126667710374947,0.0290697674418605,0.0581395348837209,3808.9575259249,40.3402028348028,1.73874032040583e-09,14
