"tune.args","fold","auc.val","auc.diff","cbi.val","or.mtp","or.10p"
"fc.L_rm.1",1,0.415460900476701,0.347517563166967,-0.592,0,0.697674418604651
"fc.L_rm.1",2,0.749791545506142,0.117844093336813,0.644,0,0
"fc.L_rm.1",3,0.692165848030251,0.0452803340702229,0.51,0,0.0232558139534884
"fc.L_rm.1",4,0.731676613204028,0.0756024972659255,0.035,0,0
"fc.LQ_rm.1",1,0.590350133480945,0.236896872394319,0.316,0.116279069767442,0.255813953488372
"fc.LQ_rm.1",2,0.799995795875754,0.0836047675790784,0.694,0,0.0232558139534884
"fc.LQ_rm.1",3,0.786466690490037,0.0359480541035756,0.883,0,0.0930232558139535
"fc.LQ_rm.1",4,0.839029877867998,0.0693086767301959,0.678,0,0
"fc.H_rm.1",1,0.642894679680767,0.223731029619223,0.373,0.0232558139534884,0.255813953488372
"fc.H_rm.1",2,0.831814009543362,0.0998905668648444,0.671,0,0
"fc.H_rm.1",3,0.737962774815427,0.121489118325077,0.825,0.0697674418604651,0.27906976744186
"fc.H_rm.1",4,0.836777560994271,0.019316316791877,0.3,0,0
"fc.LQH_rm.1",1,0.647063769557936,0.219942482325161,0.335,0,0.255813953488372
"fc.LQH_rm.1",2,0.821894611947654,0.101199921654393,0.782,0,0
"fc.LQH_rm.1",3,0.743596301304913,0.114779872492415,0.837,0.0697674418604651,0.27906976744186
"fc.LQH_rm.1",4,0.834802599489284,0.0190313992077913,-0.043,0,0
"fc.LQHP_rm.1",1,0.696025467650432,0.184942381601351,0.555,0,0.209302325581395
"fc.LQHP_rm.1",2,0.842931582549147,0.072651016741173,0.888,0,0
"fc.LQHP_rm.1",3,0.765289582413681,0.102770419343876,0.605,0.0697674418604651,0.162790697674419
"fc.LQHP_rm.1",4,0.874017301236622,0.0517225781282493,0.698,0,0
"fc.L_rm.2",1,0.421921238067878,0.340216893397423,-0.594,0,0.697674418604651
"fc.L_rm.2",2,0.749076844384341,0.117452657254684,0.68,0,0
"fc.L_rm.2",3,0.69318885159675,0.0474818427085304,0.53,0,0.0232558139534884
"fc.L_rm.2",4,0.731999397469371,0.0766617078551622,0.094,0,0
"fc.LQ_rm.2",1,0.564006623831312,0.244629103546412,0.157,0.116279069767442,0.27906976744186
"fc.LQ_rm.2",2,0.77340471002053,0.0968482516244269,0.658,0,0
"fc.LQ_rm.2",3,0.738946072764048,0.0114545780869366,0.669,0,0.0930232558139535
"fc.LQ_rm.2",4,0.853241949521323,0.108106956192754,0.475,0,0
"fc.H_rm.2",1,0.649219551046243,0.206047158303963,0.465,0,0.27906976744186
"fc.H_rm.2",2,0.825568549413641,0.0881527395562547,0.791,0,0
"fc.H_rm.2",3,0.759588322811345,0.0822762259985379,0.818,0,0.209302325581395
"fc.H_rm.2",4,0.866703248883406,0.0681921378760896,0.479,0,0
"fc.LQH_rm.2",1,0.637845059336542,0.219642135601692,0.449,0,0.27906976744186
"fc.LQH_rm.2",2,0.821249979563285,0.0907922142976427,0.868,0,0
"fc.LQH_rm.2",3,0.78241438184192,0.0451386273475947,0.847,0,0.13953488372093
"fc.LQH_rm.2",4,0.860281037500359,0.0613067408030673,0.497,0,0
"fc.LQHP_rm.2",1,0.692984484445908,0.169740859533202,0.601,0,0.27906976744186
"fc.LQHP_rm.2",2,0.84037173800832,0.079507443416575,0.92,0,0
"fc.LQHP_rm.2",3,0.748104056746335,0.100565534998167,0.752,0.116279069767442,0.186046511627907
"fc.LQHP_rm.2",4,0.880762296885012,0.0798402848997907,0.688,0,0
"fc.L_rm.3",1,0.428346541290339,0.33243183698625,-0.575,0,0.697674418604651
"fc.L_rm.3",2,0.748196313917286,0.116881268597411,0.664,0,0
"fc.L_rm.3",3,0.693284612204573,0.0481770559627328,0.517,0,0.0232558139534884
"fc.L_rm.3",4,0.727379995983129,0.0715215143914519,-0.001,0,0
"fc.LQ_rm.3",1,0.562425405989943,0.236138104605618,0.028,0.0232558139534884,0.27906976744186
"fc.LQ_rm.3",2,0.765400524581281,0.102950034348279,0.688,0,0
"fc.LQ_rm.3",3,0.711180167744557,0.019165441923527,0.69,0,0.0697674418604651
"fc.LQ_rm.3",4,0.856237865702618,0.125407136329172,0.493,0,0
"fc.H_rm.3",1,0.658157986317911,0.190411173569605,0.686,0,0.27906976744186
"fc.H_rm.3",2,0.81874151876324,0.0727223080320961,0.909,0,0.0232558139534884
"fc.H_rm.3",3,0.780466470941327,0.0368911355164416,0.785,0.0232558139534884,0.0697674418604651
"fc.H_rm.3",4,0.874139241959085,0.0874755645916615,0.779,0,0
"fc.LQH_rm.3",1,0.644050813848385,0.20481493386679,0.611,0,0.27906976744186
"fc.LQH_rm.3",2,0.811741651893841,0.0849402339215604,0.721,0,0
"fc.LQH_rm.3",3,0.790817959084529,0.0137267393688209,0.797,0,0.0930232558139535
"fc.LQH_rm.3",4,0.852091881138879,0.0619749403752683,0.433,0,0
"fc.LQHP_rm.3",1,0.692972806323003,0.160785855924662,0.703,0,0.255813953488372
"fc.LQHP_rm.3",2,0.833785276689766,0.0762171870292256,0.911,0,0
"fc.LQHP_rm.3",3,0.758011776219138,0.0788704109356279,0.689,0.116279069767442,0.13953488372093
"fc.LQHP_rm.3",4,0.875370604156505,0.0814648822952302,0.716,0,0
"fc.L_rm.4",1,0.435031098841297,0.323868105236237,-0.481,0,0.627906976744186
"fc.L_rm.4",2,0.747320454699393,0.116258842893629,0.643,0,0
"fc.L_rm.4",3,0.693361687815747,0.0489893241519931,0.516,0,0.0232558139534884
"fc.L_rm.4",4,0.723415727005805,0.0668488437706363,-0.069,0,0
"fc.LQ_rm.4",1,0.565081011138594,0.231147458782065,0.06,0.0232558139534884,0.255813953488372
"fc.LQ_rm.4",2,0.759717949975593,0.10574061305182,0.671,0,0
"fc.LQ_rm.4",3,0.701291133268403,0.033893197143064,0.617,0,0.0697674418604651
"fc.LQ_rm.4",4,0.854568951501066,0.139066943844101,0.779,0,0
"fc.H_rm.4",1,0.662647056762684,0.185250465081245,0.632,0,0.27906976744186
"fc.H_rm.4",2,0.813722261538569,0.0564507597056879,0.935,0,0.0232558139534884
"fc.H_rm.4",3,0.782713341788294,0.0232068023314205,0.823,0.0232558139534884,0.0697674418604651
"fc.H_rm.4",4,0.889188161707744,0.109838925925209,0.973,0,0
"fc.LQH_rm.4",1,0.648936940471936,0.191559224286525,0.489,0,0.27906976744186
"fc.LQH_rm.4",2,0.795030258016447,0.0874607560329183,0.822,0,0
"fc.LQH_rm.4",3,0.781601584487716,4.79350451125793e-05,0.703,0,0.0697674418604651
"fc.LQH_rm.4",4,0.851006369609503,0.071131671069433,0.733,0,0
"fc.LQHP_rm.4",1,0.683518198018923,0.1638536258236,0.626,0,0.255813953488372
"fc.LQHP_rm.4",2,0.819369801775542,0.0772125097950257,0.877,0,0
"fc.LQHP_rm.4",3,0.761905262395744,0.0676799226499529,0.634,0.116279069767442,0.162790697674419
"fc.LQHP_rm.4",4,0.863616474908903,0.0750626885410418,0.789,0,0
